Sample_ID,sample_type,Thermi,Actinobacteria,Bacteroidetes,Cyanobacteria,Deferribacteres,Euryarchaeota,Firmicutes,Fusobacteria,Lentisphaerae,Proteobacteria,Spirochaetes,Synergistetes,Tenericutes,TM7,Unassigned,Verrucomicrobia
ST00420,stool,1.92288354618787,4.57121126007134,5.37648977151648,2.61768414838028,0,2.41226510411177,5.83028375324764,2.14265259820593,1.2874557151772,4.23155821166332,0,0,2.00908963922407,3.2401347084874,4.45451966305064,0
ST00425,stool,0,3.13536801191856,5.82346054369707,2.89495814899633,0,0,5.50224239258449,0,0,4.07192247312774,0,0,1.78760212909386,1.20628602812099,3.26677244615069,2.45866804245354
ST00465,stool,0,3.82508721451467,5.70528955003738,1.00033825919807,0,1.00033825919807,5.67556371286797,0,0,3.40194852395784,0,0,0,1.27910965597061,3.98485809476483,1.00033825919807
ST00480,stool,0,3.13763079134937,5.71179068742508,0,0,0,5.67410566097496,0,0,3.98579799522749,0,0,0,1.36635965021405,3.22833424531561,1.91682705704954
SW00001,swab,2.47090988598203,3.67964006405938,5.69702370346292,1.43455453473106,0,0,5.64771960056445,0.877934009761538,0,4.50545998172655,0,0,0,0,4.31730656091146,0
SW00002,swab,0,3.46545478850604,5.58437776795653,3.24115943370125,0,0,5.77493695331569,2.08102679532944,0,4.10450036199246,0,0,1.54587600764921,0,3.45257124523786,1.25703034869783
SW00003,swab,2.47393825582838,3.78518440778107,5.39457729205686,3.22286007993511,0,0,5.84225041781345,2.97354167612129,2.09576384643354,3.89303890268585,0,1.12603570795937,3.58513955391787,1.41050912491855,4.51862799397227,3.42688256267355
SW00004,swab,2.58106518300456,3.96508981622278,5.52103016533516,0,0,0,5.77900657356295,1.55092069426536,0,4.4659167058148,0,0,0,1.84580026382133,4.44649554378011,0
SW00005,swab,2.61399538863376,3.54957407864407,5.64579919563167,0,0,0,5.71676970890121,0,0,4.3242593421404,0,0,0,0,4.06629342089791,0
SW00006,swab,3.04059416528341,3.43195893517118,5.43692988590212,0,0,0,5.84013199795035,1.22784176160757,0,4.17311809827716,0,0,0,0,4.19774261570462,0
SW00007,swab,2.29291044824146,3.43351992776332,5.39179169354107,3.75150015022346,0,0,5.82553668515444,0,1.94348472688285,4.50613780718512,0,0,3.45717535820804,0,4.60946177812747,1.94348472688285
SW00009,swab,1.41464984522741,3.31949819289223,5.58330263478885,0,0,0,5.77664225513002,0,0,4.03862135404266,0,0.860047980805645,0,0,3.77058922380972,1.70724032775404
SW00011,swab,2.8510076668445,3.6373091235037,5.63146475750587,1.5071381014091,0,0,5.71867866905652,2.79514040825018,0,4.15643789016324,0,0,0,0,4.45780643461442,1.60133773124457
SW00012,swab,2.22120462242697,3.18771111116173,5.66277703592444,0,0,0,5.71458033654267,0,0,4.03766440898229,0,0,0,0,3.95656136488434,1.42241217923393
SW00013,swab,1.87219310286895,3.72319062375746,5.51635962185812,1.15729913408248,0,0,5.7772891877019,2.00533449863084,0,4.39700738451474,0,0,0,0,4.6273054037658,1.15729913408248
SW00014,swab,1.99207983016115,3.76329822240805,5.72534211477945,0,0,0,5.6217923961657,3.92925528537092,0,4.31338831289739,0,0,0.827189960438925,1.47108816133024,4.17898252322847,0.827189960438925
SW00018,swab,2.38089627821942,3.76250780067743,5.71824415244538,1.33876623393883,0,0,5.63936563480453,1.05720101119931,0,4.30316184814073,0,0,0,0,4.12290087671888,3.3031314272838
