Sample_ID,sample_type,Acholeplasmatales,Acidimicrobiales,Actinomycetales,Aeromonadales,Alteromonadales,Anaeroplasmatales,Bacillales,Bacteroidales,Bifidobacteriales,Burkholderiales,Campylobacterales,Cardiobacteriales,Caulobacterales,Chromatiales,Clostridiales,Coriobacteriales,Deferribacterales,Deinococcales,Desulfobacterales,Desulfovibrionales,Enterobacteriales,Erysipelotrichales,Fibrobacterales,Flavobacteriales,Fusobacteriales,Hydrogenophilales,Lactobacillales,Legionellales,Mycoplasmatales,Myxococcales,Neisseriales,Nitriliruptorales,Oceanospirillales,Pasteurellales,Pseudomonadales,Puniceicoccales,Rhizobiales,Rhodobacterales,Rhodocyclales,Rhodospirillales,Selenomonadales,Sphingobacteriales,Sphingomonadales,Spirochaetales,Synergistales,Thermales,Thermomicrobiales,Thermotogales,Verrucomicrobiales,Victivallales,Xanthomonadales
ST00232,stool,0,0,2.66448166412941,0,0,0,3.62352639273204,5.59003514584523,2.38911034071065,3.18156536907933,0,0,2.6892530014672,0,5.34339748248611,4.10981868176931,0,0,0,2.33817936900253,4.78450822982057,4.20470593330833,0,3.16578169077261,1.44882403083734,0,3.59456982346187,0,0,0,0,0,0,0,1.74205892081168,0,2.71268734522086,0,0,0,5.45811182947883,2.03913826038518,0,0,0,1.74205892081168,0,0,0,0,2.33817936900253
ST00234,stool,0,0,3.15319404189423,0,0,0,2.80246482536813,5.15700020900192,0,3.82532590320888,1.75827149953527,0,0,0,5.86907867678009,4.3774989721298,0,0,0,3.11269035134725,3.33061383999629,4.15719776993096,0,0,1.46475343216699,0,3.75823755125413,0,0,0,0,0,0,0,0,0,1.63585120362064,0,0,0,4.58314760158505,1.46475343216699,0,0,4.15847314319987,0,0,0,3.88898612863194,0,0
ST00243,stool,0,0,1.60430249183442,0,0,0,1.89989790379592,5.75180310855894,0,4.37671446072385,0,0,0,0,5.59095288868276,3.24488965235899,0,0,0,2.01257740450309,0,3.50144987699649,0,1.45400522456196,0,0,3.03780751993659,0,0,0,0,0,0,0.692027559824539,0,0,2.45223269752503,0,0,0,4.17727192938208,0.946521786782737,0,0,0,0,0,0.946521786782737,0.946521786782737,0,0
ST00248,stool,0,0,2.33657856910906,0,0,0,3.05805693766151,5.59921499408705,0,3.79596960237777,0,0,1.79748396219468,0,5.70390914796161,4.19279433606576,0,0,0,1.5033224613588,2.32085839966012,4.0704370010097,0,1.67484681468361,0,0.94033748205351,4.13517475259324,0,0,0,0,0,0,1.84786656971415,1.21571191969123,0,1.93389442701398,0,0,0,4.60150414154199,1.21571191969123,0,0,0,0,0,0,3.89093146895432,0,1.3829031056438
ST00253,stool,0,0,2.61800968931807,0,0,0,3.14923986849377,5.38700801313888,1.75378085085036,4.21842125877779,0,0,1.51644719473526,0,5.76482908923797,4.07592655582561,0,0,0,0,2.10847478409747,4.51216391266781,0,2.01907815871631,0.952348369211033,0,3.22959414686465,0,0,0,0,0,0,0,0.952348369211033,0,0,0,0,0,4.99877525991312,0,0,0,0,0.952348369211033,0,0,3.99020128685071,0,1.39589397974156
ST00259,stool,0,0,2.96480804003286,0,0,0,4.4390544164354,5.69753496947383,0,4.44147380276631,2.48862766857027,0,0,0,5.58629277882748,3.71774769091954,0,0,0,3.70478523445667,3.39048232776709,4.21963552959673,0,0,0,0,3.98557103087549,0,0,0,0,0,0,0,2.88572097409148,0,2.96480804003286,0,0,0,4.23542886139321,0,2.66424874079605,0,0,0,0,0,3.08962902278029,0,0
ST00266,stool,0,0,2.82478058813927,0,0,0,2.4454785833454,5.77212911640871,2.01243119004749,4.6743768374758,0,0,0,0,5.41873132426988,3.20511447014147,0,0,0,0,4.54107279350929,4.29356494066479,0,0,0,0,3.53863196638626,0,0,0,0,0,0,0,0,0,1.01131567125263,0,0,0,4.53135795820351,1.38309589748001,1.81854152798806,0,0,0,0,0,3.61526281567007,0,1.45927079400385
ST00379,stool,0,0,2.4929581244284,0,0,0,3.16086681075633,5.19491154640243,0,2.65884519771241,0,0,1.62687615441409,0,5.83714352011326,5.02736443553359,0,0,0,2.87235437964843,0,3.91321703262936,0,2.39639692370981,2.1635571938425,0,4.20029155644248,0,0,0,0,0,0,0,1.79953577449369,0,0,0,0,0,4.05428769434173,0,0,0,1.62687615441409,1.62687615441409,0,0,4.02731682075004,0,0
ST00382,stool,0,0,2.63994863228698,0,0,0,2.58737065361774,5.64014303343573,0,1.80078010221,0,0,0,0,5.67354746568481,3.58213647832616,0,0,0,3.40892105130345,0,3.19553190587608,0,1.41302583488577,0,0,3.90851902173674,0,0,0,0,0,0,2.72916388240115,0,0,1.58348786651155,0,0,0,4.52432666749919,1.41302583488577,0,0,0,0,0,0,4.61037151051691,0,0
ST00383,stool,0,0,2.96400288309137,0,0,0,3.36828742161841,5.57893160222207,0,3.96789893855519,0,1.56066782834996,2.65672580247144,0,5.71248259425869,3.94060032302784,0,0,1.46673336953972,4.39354893992812,0,3.486217132672,0,2.7898119219347,1.89652674762176,0,3.61386925510606,0,0,0,0,0,0,0,1.70337007822291,0,2.00007948703328,0,0,0,4.52875554396927,1.81059959144533,1.18028281340617,0,1.18028281340617,1.96822868682534,0,0,4.21096419294689,1.34670902919157,2.21397685277385
