Sample_ID,sample_type,Cerasicoccales,Saprospirales,Actinomycetales,Anaeroplasmatales,Bacillales,Bacteroidales,Bifidobacteriales,Burkholderiales,Campylobacterales,Cardiobacteriales,Caulobacterales,Clostridiales,Coriobacteriales,CW040,Deferribacterales,Deinococcales,Desulfovibrionales,Enterobacteriales,Erysipelotrichales,Flavobacteriales,Fusobacteriales,Gemellales,I025,Lactobacillales,Methanobacteriales,ML615J-28,Mycoplasmatales,Myxococcales,Neisseriales,Oceanospirillales,Pasteurellales,Pseudomonadales,RF32,RF39,Rhizobiales,Rhodospirillales,Rickettsiales,SHA-98,Sphingobacteriales,Sphingomonadales,Spirochaetales,Streptophyta,Synergistales,Syntrophobacterales,Thermales,Turicibacterales,Unassigned,Verrucomicrobiales,Victivallales,Xanthomonadales,YS2
SW00103,swab,2.2112146853624,0,2.9211885556631,4.32250010317501,3.62617436927769,5.40919889668532,0,3.44305419980107,3.5495601328925,0,1.41274542095872,5.831833735161,3.21213058150582,0,0,0,3.15559419916989,1.87852688098995,3.93600252888639,0,1.94465224160391,0,0,3.15559419916989,0,2.13914926681209,0,0,1.12818856143495,0,1.94465224160391,1.12818856143495,3.34276329373697,2.94634276492685,0,0,0,1.12818856143495,0,0,0,1.12818856143495,1.58320379306756,0,1.80049303165508,1.87852688098995,4.13284735460184,2.61416385063751,1.87852688098995,0,3.01928764449035
SW00105,swab,0,0,3.47312073043628,0,4.73558197412319,5.53981405685187,0,3.97219230046443,3.62402605598857,0,1.81955310094718,5.63787655643727,3.6054221022544,0,0,0,1.29163135804702,4.05917768154633,3.6054221022544,1.67604915388239,1.01224285804594,1.01224285804594,3.3278642895677,3.94559745624552,0,1.58142228377462,0,0,0,0,0,2.22568767389157,0,0,0,0,0,1.75370160906775,1.29163135804702,0,0,1.46026231334638,0,0,3.040102798517,2.17485788585478,5.05822757032628,3.19082105885495,0,1.01224285804594,0
SW00108,swab,0,0,2.13814132206047,0,4.83394646276788,5.65748048646199,0,3.97700069117973,1.54545840318707,0,0,5.5846038735441,3.36560619946874,0,0,0,0,3.81173070433034,4.10813180504105,0,0,3.40814108294097,0,4.74055236175534,0,0,1.54545840318707,0,0,0,0,2.23441893902446,0,0,2.01425453679583,0,0,0,0,0,0,0,0,0,2.7641072804046,0,3.50617337378038,2.13814132206047,0,0,0
SW00110,swab,0,0,2.83986905697571,0,4.63389964327092,5.56614451752683,1.73339631084985,4.61157299573952,1.63848766579256,0,0,5.65903856619361,3.05201861682211,0,0,0,0,4.52575237889627,4.38504130552936,0,3.22524302213007,0,0,4.15118812231448,0,0,0,0,0,0,0,3.11656461097138,1.06539147305571,0,1.34732845991139,0,0,0,0,0,0,1.06539147305571,0,0,2.99055920305716,0,4.11837884994499,2.83314548570302,0,1.51686418243585,0
SW00120,swab,0,1.34607299112119,2.62809642560299,0,4.93250076458174,5.62186727319402,0,3.26077941762084,1.56002012089599,0,0,5.66624968297845,2.54911964298704,0,0,0,2.40692884674604,1.93319751162566,4.02010402953531,0,1.70271723748521,2.52232577624565,0,3.7732739037778,0,0,0,0,0,0,1.34607299112119,2.51301410870494,0,0,1.99942011412545,0.906437273892991,0,0,0,1.70271723748521,0,0,1.1796607837862,0,3.19750196418189,1.75963143988236,3.99229275095459,2.41878207863451,0,0,0.906437273892991
SW00123,swab,0,0,2.93596753934072,0,3.69978739934045,5.6160105124872,2.25696797579597,4.23977649666386,2.69330679288314,0,0,5.65488259970535,3.52402787150042,0,0,0,3.27444356016292,4.7261565985086,3.82477658666476,0,1.92529319617825,3.43348190065322,0,4.09004894399529,0,1.76022269937807,0,0,0,0,0,1.92529319617825,1.53502224866007,3.31054505974992,0,0,0,1.38551644355418,0,0,0,1.04074314276523,0.883985300088505,0,1.80773262018912,0,4.43307130598781,2.98351337042063,0,0,2.83666446310594
SW00124,swab,0,0,1.71484478976111,0,2.56790304873488,5.73267774030657,1.4221092082015,3.75761729057325,2.97402191313551,0,0,5.63327229109097,3.42046419778385,0,0,0,0,1.4221092082015,4.14377419314924,0,0,0,0,2.80398145269447,0,0,0,0,0,0,0,0,1.4221092082015,0,0,0,0,0,0,0,0,0,1.1372074178959,0,0,0,3.67960755666371,2.8453121307875,0,0,0
SW00131,swab,0,1.45018879208459,3.56495841146875,0,5.33770691279664,5.29226310794851,0,4.74985457238303,2.86646117666976,0,1.74344835967598,5.46765002676008,3.24766533435907,0,0,0,3.80932209069588,5.09868153571939,3.27358683412462,1.74344835967598,0,0,0,4.35517054159274,0,0,0,0,0,0,1.91691827054021,4.70658869255963,1.74344835967598,1.45018879208459,0,0,0,0,0,2.13665848973782,1.74344835967598,0,0,0,3.71789076278875,1.45018879208459,4.23867087082947,0,0,0,1.45018879208459
SW00133,swab,0,0,1.81472347848172,0,3.52830631187715,5.71826992233486,0,2.20865282693734,2.35401271009554,0,0,5.62785928683243,3.21482340658303,0,0,0,3.09839931484453,3.29959793215278,4.11980514089655,0,1.52029669184194,0,0,4.35024049054908,0,0,0,0,0,0,1.81472347848172,2.28738614914601,0,3.12010167415154,0,0,0,0,0,0,0,0,1.81472347848172,0,2.28738614914601,1.52029669184194,3.82092114271582,0,0,0,0
SW00137,swab,0,0,3.32999694136385,0,5.60615854710498,5.08789646491031,1.14706277331114,4.07924572711078,3.63356483749587,0,0,5.51976783989958,3.23905207924281,0,0,1.82053525933243,3.15664548844508,2.37207014125369,3.97653016385786,1.60304141307315,1.72526345679698,0,0,4.47913995193117,0,3.24230336755848,0,1.14706277331114,0,0,0,3.34814088811085,3.05981116586934,1.43233308309766,2.34735500290116,0,0,2.11827017810765,0,1.72526345679698,0,0,2.51422107329898,0,3.91845942760969,0,4.8115750709308,2.83159374087928,0,0,3.19077686413422
SW00142,swab,0,0,2.85702719865331,0,4.04398313697276,5.68630650857424,1.86242600095713,4.1618044595766,4.34074282480317,0,0,5.45488689201064,3.4363658014033,0,0,0,3.4586342456502,4.04679386110314,3.67605867722165,0,4.05236131861134,0,0,4.94100442065268,0,0,0,0,0,0,3.08722750319637,0,0,0,2.3355546000824,0,0,0,0,1.86242600095713,0,0,0,0,2.16046495140095,0,4.75734382911857,3.33374585952426,0,0,0
