ID	081A_reads	082A_reads	083A_reads	084A_reads	085A_reads	086A_reads	091A_reads	093A_reads	094A_reads	098A_reads	099A_reads	100A_reads	101A_reads	107A_reads	108A_reads	109A_reads	10A_reads	116A_reads	118A_reads	119A_reads	11A_reads	120A_reads	13A_reads	15A_reads	18A_reads	1A_reads	20A_reads	21A_reads	24A_reads	25A_reads	28A_reads	29A_reads	31A_reads	34A_reads	35A_reads	37A_reads	39A_reads	3A_reads	6A_reads	7A_reads
Leuconostoc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14182	0.0	0.0	0.0	0.0
Weissella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	363	0.0	0.0	0.0	0.0	514	0.0	0.0	0.0	2154	0.0	0.0	0.0	0.0
Lactococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	140	0.0	160	0.0	0.0	543	0.0	0.0	0.0	5404	0.0	0.0	0.0	0.0
Streptococcus	5432	4102	8782	1136	144	3720	902	230	2023	284	526	708	2712	324	0.0	35076	96348	116	201	130	49226	0.0	6313	4767	938	142627	7560	519	4271	190	75	14765	332	3253	15	125239	3281	3313	0.0	121958
Butyricicoccus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	513	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Clostridiaceae_noname	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	371	0.0	0.0	0.0	0.0	118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30	0.0	0.0	0.0	0.0	0.0	175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Clostridium	3182	14554	11915	2244	34207	78606	2865	85382	27394	1378	76650	0.0	38271	815	53579	37240	0.0	386221	33673	16053	154	2866	258852	0.0	3365	28065	42140	884	925	42339	294	753	2482	0.0	0.0	0.0	64659	67	3593	332
Clostridiales_Family_XIII_Incertae_Sedis_unclassified	0.0	0.0	0.0	0.0	0.0	120	0.0	0.0	0.0	0.0	119	0.0	116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	463	0.0	0.0	529
Parvimonas	0.0	0.0	0.0	349	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Clostridiales_noname	0.0	238	0.0	0.0	0.0	2340	0.0	649	1409	0.0	272	0.0	120	0.0	0.0	0.0	0.0	6864	119	208	0.0	60	1588	0.0	89	0.0	1668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Flavonifractor	43	0.0	709	0.0	998	1184	0.0	2114	3068	0.0	0.0	972	3652	204	42	358	0.0	0.0	5536	41	0.0	0.0	3217	0.0	182	0.0	1133	0.0	0.0	2377	0.0	0.0	735	0.0	0.0	0.0	625	0.0	414	0.0
Eubacterium	191017	19268	207	1022257	5876	483932	125855	306	518	291359	593061	115552	3299	11871	34321	139139	485385	734	1449112	80559	189048	244863	99862	589119	14565	94570	11598	269925	43794	101614	74728	17284	59159	36626	130228	227383	251924	439606	228373	255216
Anaerostipes	328	233	353	35	903	667	200	219	0.0	380	596	199	920	0.0	0.0	0.0	3546	836	267	719	0.0	66	504	0.0	0.0	0.0	234	1498	0.0	900	463	0.0	0.0	388	0.0	0.0	3763	65	35	5440
Blautia	10023	12595	22685	32151	16102	32740	12121	47962	53821	5989	250978	93944	42365	6607	11649	36710	52648	174032	20339	108665	88839	13024	127173	14517	18928	28295	58978	16983	3880	205741	22457	5103	34521	14398	9960	16610	172658	15161	77430	120024
Coprococcus	56431	5980	7760	27234	0.0	0.0	2546	0.0	0.0	166656	0.0	75713	0.0	1111	3403	15262	165640	0.0	7537	1271	25645	4184	0.0	13629	17518	33456	0.0	42522	5554	0.0	57352	32576	9987	7323	111135	7781	2848	8214	15435	0.0
Dorea	3260	26868	4500	15118	0.0	14375	4120	0.0	703	5030	1874	16851	7665	1515	2538	41082	30079	3737	12045	6427	25165	2696	0.0	20260	5366	29017	51514	28532	5252	10096	8492	5561	1067	6018	2833	20995	23814	33156	29240	37575
Lachnospiraceae_noname	35513	8253	9089	101911	702	3005	26365	1465	2526	4419	42046	17421	19342	1689	11310	62810	29595	67662	27671	6798	10468	2394	12769	4670	2178	8977	14996	18446	586	143596	3780	0.0	16573	9277	3282	2273	70934	3856	11446	7712
Roseburia	170875	167266	396065	135655	58675	362572	212612	0.0	0.0	84566	86644	27438	448103	159139	29790	423494	127256	0.0	155602	14322	70473	59646	174935	185713	59746	49106	246272	126305	29652	230777	18956	103528	98660	168141	89843	28660	394125	4923	451049	821602
Oscillibacter	9214	4290	4815	14898	29962	0.0	3188	7279	0.0	3633	2998	3770	26416	5049	5855	0.0	1437	0.0	77131	7549	1576	29948	8338	2863	4632	725	0.0	8280	3983	14926	3724	33	9312	446	135	0.0	908	6726	7889	100
Peptostreptococcaceae_noname	1329	2096	2629	0.0	865	10517	0.0	0.0	1315	0.0	0.0	0.0	87	1315	1315	3843	6573	442	0.0	3102	0.0	0.0	3944	1062	0.0	1315	1327	1340	274	7888	2629	1315	1315	0.0	0.0	0.0	21034	0.0	3944	2610
