Sample_Names,Alias,Geography,Euryarchaeota,Actinobacteria,Bacteroidetes,Chlamydiae,Deferribacteres,Deinococcus_Thermus,Fibrobacteres,Firmicutes,Fusobacteria,Proteobacteria,Spirochaetes,Verrucomicrobia,Apicomplexa,Ascomycota,Microsporidia
ERR1135292,PIG_125,Denmark,3.12404688380098,3.01527295162309,5.54715812244596,0,0,0,0,5.79429449746552,0,4.32276251492034,3.14355273621909,0,0,0,0
ERR1135293,PIG_126,Denmark,2.99519803754563,3.12259112838009,5.62647861315849,2.54825636456826,0,0,0,5.7523044688045,0,3.85911785797049,3.21509690521681,0,0,0,0
ERR1135294,PIG_127,Denmark,3.03495871945585,3.08470711970537,5.74980382875838,1.75504606339336,0,0,0,5.63253268756301,0,3.79759021940102,2.33123136082054,0,0,0,0
ERR1135295,PIG_128,Denmark,3.67441310073795,3.32082234201751,5.58655232568089,0,0,0,0,5.77859915073137,0,3.60631129409436,3.40828145568887,0,0,0,0
ERR1135296,PIG_129,Denmark,2.19636362336087,2.93574486926555,5.85230709445278,1.26973301344391,2.74083581375888,0,0,5.4344873867177,0,3.80370043065839,3.92376395861846,0,0,0,0
ERR1135297,PIG_130,Denmark,2.63075661402156,2.60803412029784,5.81617799509836,2.47068737278129,3.18722310592594,0,0,5.50949608027731,0,4.19199715692067,3.56325727434275,0,0,0,0
ERR1135298,PIG_131,Denmark,4.65680132553598,2.41667024274885,5.13022000252519,0,2.61926728047431,0,0,5.57513447920677,0,4.30579450473035,5.62615280271145,0,0,0,0
ERR1135299,PIG_132,Denmark,4.64696921186833,3.01433375001357,5.2560711571391,0,3.23447647167551,0,0,5.72799178985877,0,4.52574520010693,5.31060887638328,0,0,0,0
ERR1135300,PIG_133,Denmark,2.96580335744934,2.93408795577553,5.5971760783466,0,0,0,0,5.60474132533571,0,4.14215354418428,5.27031980326798,0,0,0,0
ERR1135301,PIG_134,Denmark,3.47642745774274,3.18450108309607,5.54750968656624,0,0,0,0,5.66190467370315,0,3.88319715162801,5.2454083916295,0,0,0,0
ERR1135302,PIG_135,Denmark,3.43773614321424,2.64736040254765,5.76716710562403,0,2.34488543587185,0,0,5.40733570407498,0,4.04841701690866,5.1611877593409,0,0,0,0
ERR1135303,PIG_136,Denmark,3.45742780521003,2.52580590914693,5.75020730659088,0,2.43710320412681,0,0,5.61339801795989,0,4.19446044375923,3.88275476667335,0,0,0,1.77585045750533
ERR1135304,PIG_137,Denmark,3.65849395567834,3.17800845919473,5.66753425795717,0,2.08658326623571,0,0,5.69931182388293,0,4.27011669304219,3.9875150439708,0,0,0,0
ERR1135305,PIG_138,Denmark,3.52051423886842,2.72692988214477,5.69440389263119,2.14681766101332,2.83867287200195,0,0,5.67528302922323,0,4.23864133022583,3.99014019452725,0,0,0,0
ERR1135306,PIG_139,Denmark,3.31895356270424,2.61596368880247,5.45587832118275,0,1.17015831991722,0,0,5.8281534698371,0,4.53299706033522,3.65150542937824,0,0,0,0
ERR1135307,PIG_140,Denmark,3.40891805564279,2.71765940051377,5.85217864121466,0,3.11013221972214,0,0,5.43499219492602,0,3.84299130440716,3.68974258445635,0,0,0,0
ERR1135308,PIG_141,Denmark,3.48234857735177,3.07083882810863,5.62295325843919,0,0,0,0,5.74337525630106,0,4.04874681331519,4.04384922297678,0,0,0,0
